Feature,Role,Variable Type,Demographic,Description
Id,Feature,Integer,-,Unique identifier for each billboard.
Latitude,Feature,Continuous,-,GPS latitude (WGS84) of the billboard location (in decimal degrees).
Longitude,Feature,Continuous,-,GPS longitude (WGS84) of the billboard location (in decimal degrees).
City,Feature,Categorical,-,"Municipality name in Puerto Rico (e.g., San Juan, Carolina)."
PR,Feature,Categorical,-,Road prefixed name in Puerto Rico (e.g. PR22)
Direction,Feature,Categorical,-,"Orientation of the billboard relative to traffic flow: Inbound, Outbound or Alternative which is placed on building sides"
DEC,Feature,Integer,-,Daily Effective Circulation: estimated average daily audience per day (vehicles occupancy).
CPM,Feature,Continuous,-,"Cost-Per-Mille: advertising cost in USD per 1,000 impressions, based on DEC."
Size,Feature,Continuous,-,Billboard face area in square feet.
Price,Target,Integer,-,Monthly rental price of the billboard in USD (target variable).
Prime,Feature,Categorical,-,"Prime location indicator: Yes for high-visibility/high-traffic, No otherwise."
B01001001,Feature,Integer,Total population,Total population in the census tract (ACS 5-year estimate).
B01001002,Feature,Integer,Male,Number of male individuals all ages in the census tract (ACS 5-year estimate).
B01001003,Feature,Integer,Male Under 5 years,Number of male individuals under 5 years in the census tract (ACS 5-year estimate).
B01001004,Feature,Integer,Male 5 to 9 years,Number of male individuals 5 to 9 years in the census tract (ACS 5-year estimate).
B01001005,Feature,Integer,Male 10 to 14 years,Number of male individuals 10 to 14 years in the census tract (ACS 5-year estimate).
B01001006,Feature,Integer,Male 15 to 17 years,Number of male individuals 15 to 17 years in the census tract (ACS 5-year estimate).
B01001007,Feature,Integer,Male 18 and 19 years,Number of male individuals 18 and 19 years in the census tract (ACS 5-year estimate).
B01001008,Feature,Integer,Male 20 years,Number of male individuals 20 years in the census tract (ACS 5-year estimate).
B01001009,Feature,Integer,Male 21 years,Number of male individuals 21 years in the census tract (ACS 5-year estimate).
B01001010,Feature,Integer,Male 22 to 24 years,Number of male individuals 22 to 24 years in the census tract (ACS 5-year estimate).
B01001011,Feature,Integer,Male 25 to 29 years,Number of male individuals 25 to 29 years in the census tract (ACS 5-year estimate).
B01001012,Feature,Integer,Male 30 to 34 years,Number of male individuals 30 to 34 years in the census tract (ACS 5-year estimate).
B01001013,Feature,Integer,Male 35 to 39 years,Number of male individuals 35 to 39 years in the census tract (ACS 5-year estimate).
B01001014,Feature,Integer,Male 40 to 44 years,Number of male individuals 40 to 44 years in the census tract (ACS 5-year estimate).
B01001015,Feature,Integer,Male 45 to 49 years,Number of male individuals 45 to 49 years in the census tract (ACS 5-year estimate).
B01001016,Feature,Integer,Male 50 to 54 years,Number of male individuals 50 to 54 years in the census tract (ACS 5-year estimate).
B01001017,Feature,Integer,Male 55 to 59 years,Number of male individuals 55 to 59 years in the census tract (ACS 5-year estimate).
